sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
736,2072753906;-141,5659637451;
737,9042968750;-141,6308441162;
739,6052246094;-141,6450653076;
741,3100585938;-141,6450653076;
743,0192260742;-141,6450653076;
744,7319335938;-141,6450653076;
746,4486083984;-141,6450653076;
748,1696166992;-141,6450653076;
749,8942260742;-141,6964263916;
751,6227416992;-142,2659149170;
753,3557128906;-142,3156127930;
755,0922851563;-142,3184509277;
756,8328247070;-142,4207611084;
758,5777587891;-142,4362945557;
760,3263549805;-142,5860137939;
762,0789794922;-142,7113189697;
763,8356323242;-142,9253387451;
765,5967407227;-143,0807495117;
767,3614501953;-143,0828552246;
769,1303100586;-143,1223144531;
770,9036254883;-143,1223144531;
772,6806030273;-143,1223144531;
774,4616699219;-143,1223144531;
776,2473144531;-143,1223144531;
778,0366210938;-143,1223144531;
779,8300170898;-143,1223144531;
781,6276245117;-143,1223144531;
783,4297485352;-143,1223144531;
785,2355957031;-143,1223144531;
787,0455932617;-143,1428985596;
788,8602294922;-143,1915740967;
790,6786499023;-143,3601989746;
792,5012207031;-143,3743591309;
794,3284301758;-143,3743591309;
796,1593627930;-143,3743591309;
797,9945678711;-143,3743591309;
799,8344726563;-143,3743591309;
801,6781616211;-143,3743591309;
803,5260620117;-143,3743591309;
805,3782348633;-143,3601989746;
807,2351684570;-143,2189941406;
809,0958862305;-143,1428985596;
810,9609375000;-142,9596099854;
812,8306884766;-142,8175506592;
814,7042846680;-142,7868041992;
816,5822753906;-142,5710449219;
818,4649658203;-142,5258483887;
820,3516235352;-142,5258483887;
822,2425537109;-142,5258483887;
824,1378784180;-142,5258483887;
826,0380249023;-142,5258483887;
827,9421386719;-142,5258483887;
829,8505859375;-142,4246826172;
831,7639160156;-142,3125762939;
833,6812133789;-142,3012542725;
835,6029052734;-142,1979217529;
837,5294799805;-142,1627655029;
839,4600219727;-142,0608673096;
841,3950195313;-141,9937591553;
843,3349609375;-141,9937591553;
845,2789306641;-141,9888763428;
847,2273559570;-141,8497619629;
849,1802978516;-141,5118560791;
851,1381835938;-141,5021514893;
853,1000976563;-141,4251251221;
855,0665893555;-141,1638793945;
857,0380249023;-141,1289520264;
859,0135498047;-141,1289520264;
860,9936523438;-141,1289520264;
862,9787597656;-141,1289520264;
864,9680175781;-141,1289520264;
866,9617919922;-141,1289520264;
868,9602050781;-141,1289520264;
870,9636840820;-141,1638793945;
872,9713134766;-141,5021514893;
874,9835815430;-141,5118560791;
877,0009765625;-141,7337493896;
879,0225219727;-141,9888763428;
881,0487670898;-142,1979217529;
883,0800781250;-142,4735870361;
885,1156616211;-142,4735870361;
887,1559448242;-142,2050628662;
889,2008666992;-142,1979217529;
891,2510375977;-141,9660034180;
893,3054199219;-141,9319458008;
895,3645629883;-141,9319458008;
897,4289550781;-141,9319458008;
899,4975585938;-141,9319458008;
901,5709838867;-141,9660034180;
903,6496582031;-142,2050628662;
905,7326660156;-142,3014831543;
907,8204345703;-142,4735870361;
909,9135131836;-142,7769165039;
912,0109252930;-142,7994079590;
914,1131591797;-142,8246612549;
916,2202758789;-143,0802459717;
918,3327026367;-143,3845214844;
920,4495239258;-143,4960021973;
922,5712280273;-143,7034759521;
924,6983642578;-144,0173950195;
926,8298339844;-144,0822906494;
928,9662475586;-144,1479949951;
931,1080932617;-144,1500854492;
933,2543334961;-144,2063903809;
935,4055786133;-144,3262786865;
937,5617675781;-144,3262786865;
939,7233886719;-144,1500854492;
941,8895263672;-144,1479949951;
944,0606689453;-144,0822906494;
946,2373046875;-144,0173950195;
948,4184570313;-144,0173950195;
950,6046142578;-144,0173950195;
952,7963867188;-144,0173950195;
954,9926147461;-144,0173950195;
957,1939697266;-144,0173950195;
959,4008789063;-144,0173950195;
961,6123657227;-144,0173950195;
963,8289794922;-144,0173950195;
966,0506591797;-144,0173950195;
968,2780151367;-144,0173950195;
970,5099487305;-144,0173950195;
972,7470092773;-144,0173950195;
974,9898071289;-144,0173950195;
977,2372436523;-144,0015106201;
979,4898681641;-143,7943725586;
981,7481689453;-143,7741546631;
984,0111694336;-143,6738433838;
986,2794189453;-143,4411315918;
988,5528564453;-143,4107971191;
990,8320922852;-143,1151580811;
993,1160278320;-143,0852203369;
995,4052124023;-143,0215148926;
997,7002563477;-142,8174133301;
1000,0000000000;-142,5986175537;
1002,3050537109;-142,5879364014;
1004,6160278320;-142,5198822021;
1006,9317016602;-142,3064880371;
1009,2527465820;-142,2645111084;
1011,5797119141;-142,1916961670;
1013,9114990234;-142,1575469971;
1016,2485961914;-141,8117370605;
1018,5911254883;-141,7204895020;
1020,9396362305;-141,7093048096;
1023,2929687500;-141,5350952148;
1025,6517333984;-141,5255279541;
1028,0164794922;-141,3802947998;
1030,3861083984;-141,2250366211;
1032,7612304688;-141,1846618652;
1035,1424560547;-140,9294586182;
1037,5284423828;-140,8768920898;
1039,9200439453;-140,8715515137;
1042,3171386719;-140,8715515137;
1044,7203369141;-140,8715515137;
1047,1285400391;-140,8715515137;
1049,5422363281;-140,8715515137;
1051,9620361328;-140,8715515137;
1054,3868408203;-140,8715515137;
1056,8173828125;-140,8715515137;
1059,2539062500;-140,8715515137;
1061,6955566406;-140,8715515137;
1064,1429443359;-140,8715515137;
1066,5964355469;-140,8768920898;
1069,0549316406;-141,0401153564;
1071,5192871094;-141,0448303223;
1073,9891357422;-141,1846618652;
1076,4653320313;-141,2210083008;
1078,9466552734;-141,2250366211;
1081,4337158203;-141,2281951904;
1083,9271240234;-141,2281951904;
1086,4256591797;-141,2281951904;
1088,9299316406;-141,2281951904;
1091,4405517578;-141,2281951904;
1093,9564208984;-141,2524108887;
1096,4781494141;-141,5906219482;
1099,0056152344;-141,6166076660;
1101,5394287109;-141,6554107666;
1104,0786132813;-141,6554107666;
1106,6235351563;-141,6554107666;
1109,1750488281;-141,7499389648;
1111,7316894531;-141,8919219971;
1114,2943115234;-141,9034729004;
1116,8635253906;-141,9300689697;
1119,4379882813;-141,9851379395;
1122,0183105469;-142,0398406982;
1124,6052246094;-142,1795654297;
1127,1976318359;-142,2178802490;
1129,7958984375;-142,2664642334;
1132,4001464844;-142,4597930908;
1135,0109863281;-142,5606231689;
1137,6273193359;-142,6693572998;
1140,2496337891;-142,7974243164;
1142,8785400391;-142,8017883301;
1145,5129394531;-142,8453674316;
1148,1534423828;-142,8969879150;
1150,8006591797;-143,0603027344;
1153,4533691406;-143,1083374023;
1156,1121826172;-143,2884368896;
1158,7770996094;-143,3422546387;
1161,4487304688;-143,3886871338;
1164,1259765625;-143,5380554199;
1166,8093261719;-143,5380554199;
1169,4996337891;-143,3886871338;
1172,1954345703;-143,3422546387;
1174,8973388672;-143,2548980713;
1177,6062011719;-143,1083374023;
1180,3206787109;-143,0603027344;
1183,0413818359;-143,0603027344;
1185,7684326172;-143,0603027344;
1188,5023193359;-143,0603027344;
1191,2419433594;-143,0603027344;
1193,9877929688;-143,0603027344;
1196,7407226563;-143,0603027344;
1199,4992675781;-143,0603027344;
1202,2642822266;-143,0651245117;
1205,0361328125;-143,0651245117;
1207,8138427734;-143,0651245117;
1210,5980224609;-143,0651245117;
1213,3891601563;-143,0651245117;
1216,1861572266;-143,0651245117;
1218,9895019531;-143,0651245117;
1221,7993164063;-142,9056396484;
1224,6163330078;-142,9048156738;
1227,4392089844;-142,7382507324;
1230,2685546875;-142,6626281738;
1233,1051025391;-142,4964599609;
1235,9475097656;-142,4151458740;
1238,7963867188;-142,3992614746;
1241,6525878906;-142,2863922119;
1244,5146484375;-142,2863922119;
1247,3834228516;-142,2863922119;
1250,2586669922;-142,2863922119;
1253,1413574219;-142,2863922119;
1256,0299072266;-142,2863922119;
1258,9251708984;-142,2863922119;
1261,8277587891;-142,2863922119;
1264,7363281250;-142,2582397461;
1267,6516113281;-142,2479248047;
1270,5743408203;-142,2300109863;
1273,5031738281;-142,2176361084;
1276,4385986328;-142,2105865479;
1279,3815917969;-142,2026062012;
1282,3306884766;-142,2015686035;
1285,2866210938;-142,2015686035;
1288,2492675781;-142,2015686035;
1291,2194824219;-142,2026062012;
1294,1958007813;-142,2026062012;
1297,1790771484;-142,2026062012;
1300,1697998047;-142,2026062012;
1303,1667480469;-142,1585540771;
1306,1706542969;-142,1518402100;
1309,1822509766;-141,9938659668;
1312,1999511719;-141,9764251709;
1315,2247314453;-141,9764251709;
1318,2563476563;-141,9938659668;
1321,2957763672;-142,0669860840;
1324,3414306641;-142,1518402100;
1327,3941650391;-142,2026062012;
1330,4545898438;-142,2060852051;
1333,5214843750;-142,2060852051;
1336,5953369141;-142,2060852051;
1339,6770019531;-142,2060852051;
1342,7650146484;-142,2060852051;
1345,8602294922;-142,2060852051;
1348,9632568359;-142,2060852051;
1352,0727539063;-142,2060852051;
1355,1893310547;-142,2060852051;
1358,3131103516;-142,2026062012;
1361,4448242188;-142,1997375488;
1364,5831298828;-142,1518402100;
1367,7285156250;-142,0669860840;
1370,8820800781;-141,9938659668;
1374,0419921875;-141,9764251709;
1377,2092285156;-141,9764251709;
1380,3846435547;-142,0669860840;
1383,5665283203;-142,1518402100;
1386,7557373047;-142,1997375488;
1389,9522705078;-142,2060852051;
1393,1569824219;-142,4159698486;
1396,3682861328;-142,4159698486;
1399,5870361328;-142,4159698486;
1402,8139648438;-142,4159698486;
1406,0474853516;-142,4159698486;
1409,2885742188;-142,4159698486;
1412,5378417969;-142,4954528809;
1415,7938232422;-142,6101379395;
1419,0573730469;-142,6101379395;
1422,3292236328;-142,6101379395;
1425,6077880859;-142,6101379395;
1428,8939208984;-142,4954528809;
1432,1876220703;-142,4679718018;
1435,4896240234;-142,4626464844;
1438,7985839844;-142,4626464844;
1442,1151123047;-142,4626464844;
1445,4400634766;-142,4679718018;
1448,7718505859;-142,4954528809;
1452,1114501953;-142,6101379395;
1455,4594726563;-142,6207580566;
1458,8143310547;-142,6207580566;
1462,1770019531;-142,6207580566;
1465,5474853516;-142,6101379395;
1468,9265136719;-142,6101379395;
1472,3125000000;-142,6101379395;
1475,7061767578;-142,6207580566;
1479,1086425781;-142,8178863525;
1482,5180664063;-142,8638610840;
1485,9354248047;-142,9271087646;
1489,3614501953;-143,0906982422;
1492,7945556641;-143,1620788574;
1496,2354736328;-143,2034301758;
1499,6853027344;-143,2135467529;
1503,1420898438;-143,2232666016;
1506,6069335938;-143,2501068115;
1510,0798339844;-143,2847747803;
1513,5615234375;-143,3726043701;
1517,0502929688;-143,3943176270;
1520,5472412109;-143,3943176270;
1524,0531005859;-143,3943176270;
1527,5661621094;-143,3943176270;
1531,0872802734;-143,5563354492;
1534,6173095703;-143,7353973389;
1538,1547851563;-143,7491302490;
1541,7003173828;-144,0312652588;
1545,2540283203;-144,1943054199;
1548,8167724609;-144,3000946045;
1552,3869628906;-144,3000946045;
1555,9653320313;-144,3000946045;
1559,5527343750;-144,3000946045;
1563,1477050781;-144,3000946045;
1566,7508544922;-144,3000946045;
1570,3631591797;-144,3000946045;
1573,9829101563;-144,3000946045;
1577,6110839844;-144,3000946045;
1581,2475585938;-144,3000946045;
1584,8933105469;-144,3000946045;
