sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
805,3782348633;-134,0673065186;
807,2351684570;-134,0867462158;
809,0958862305;-134,1750183105;
810,9609375000;-134,3072204590;
812,8306884766;-134,3388671875;
814,7042846680;-134,3390960693;
816,5822753906;-134,3616790771;
818,4649658203;-134,3649139404;
820,3516235352;-134,4132690430;
822,2425537109;-134,4198455811;
824,1378784180;-134,4435729980;
826,0380249023;-134,4740905762;
827,9421386719;-134,4873962402;
829,8505859375;-134,5497589111;
831,7639160156;-134,5577392578;
833,6812133789;-134,5638275146;
835,6029052734;-134,6215667725;
837,5294799805;-134,6234893799;
839,4600219727;-134,6370086670;
841,3950195313;-134,6603393555;
843,3349609375;-134,7779083252;
845,2789306641;-134,9083404541;
847,2273559570;-134,9264221191;
849,1802978516;-134,9278717041;
851,1381835938;-134,9613647461;
853,1000976563;-134,9934844971;
855,0665893555;-135,0520172119;
857,0380249023;-135,0909423828;
859,0135498047;-135,0977630615;
860,9936523438;-135,2075653076;
862,9787597656;-135,2261352539;
864,9680175781;-135,2473754883;
866,9617919922;-135,3669586182;
868,9602050781;-135,3721923828;
870,9636840820;-135,4456787109;
872,9713134766;-135,5159606934;
874,9835815430;-135,5200805664;
877,0009765625;-135,6450195313;
879,0225219727;-135,6481781006;
881,0487670898;-135,6622161865;
883,0800781250;-135,7579803467;
885,1156616211;-135,7776947021;
887,1559448242;-135,8379974365;
889,2008666992;-135,8493041992;
891,2510375977;-135,8520050049;
893,3054199219;-135,8549804688;
895,3645629883;-135,8565216064;
897,4289550781;-135,8565216064;
899,4975585938;-135,8565216064;
901,5709838867;-135,9049530029;
903,6496582031;-135,9066314697;
905,7326660156;-135,9614868164;
907,8204345703;-135,9760894775;
909,9135131836;-136,0317687988;
912,0109252930;-136,0361938477;
914,1131591797;-136,0563201904;
916,2202758789;-136,2212677002;
918,3327026367;-136,2987518311;
920,4495239258;-136,3287353516;
922,5712280273;-136,3381042480;
924,6983642578;-136,3956604004;
926,8298339844;-136,4044647217;
928,9662475586;-136,4134979248;
931,1080932617;-136,4831542969;
933,2543334961;-136,5322418213;
935,4055786133;-136,5512390137;
937,5617675781;-136,5668487549;
939,7233886719;-136,6154632568;
941,8895263672;-136,6245269775;
944,0606689453;-136,7110290527;
946,2373046875;-136,8803405762;
948,4184570313;-136,8803405762;
950,6046142578;-136,8803405762;
952,7963867188;-136,8803405762;
954,9926147461;-136,8803405762;
957,1939697266;-136,8803405762;
959,4008789063;-136,8803405762;
961,6123657227;-136,8803405762;
963,8289794922;-136,8803405762;
966,0506591797;-136,8803405762;
968,2780151367;-136,8803405762;
970,5099487305;-136,8803405762;
972,7470092773;-136,8803405762;
974,9898071289;-136,8803405762;
977,2372436523;-136,9187622070;
979,4898681641;-136,9260101318;
981,7481689453;-137,0218200684;
984,0111694336;-137,0237731934;
986,2794189453;-137,0639343262;
988,5528564453;-137,0680236816;
990,8320922852;-137,0680236816;
993,1160278320;-137,0680236816;
995,4052124023;-137,0680236816;
997,7002563477;-137,0680236816;
1000,0000000000;-137,0680236816;
1002,3050537109;-137,0680236816;
1004,6160278320;-137,0680236816;
1006,9317016602;-137,0741271973;
1009,2527465820;-137,0775604248;
1011,5797119141;-137,0848083496;
1013,9114990234;-137,0848083496;
1016,2485961914;-137,0848083496;
1018,5911254883;-137,0848083496;
1020,9396362305;-137,1909179688;
1023,2929687500;-137,2012939453;
1025,6517333984;-137,2089233398;
1028,0164794922;-137,2256317139;
1030,3861083984;-137,2358551025;
1032,7612304688;-137,2579650879;
1035,1424560547;-137,2695770264;
1037,5284423828;-137,3033905029;
1039,9200439453;-137,3661804199;
1042,3171386719;-137,3743896484;
1044,7203369141;-137,3847351074;
1047,1285400391;-137,4639282227;
1049,5422363281;-137,4853057861;
1051,9620361328;-137,4878845215;
1054,3868408203;-137,5153350830;
1056,8173828125;-137,6480102539;
1059,2539062500;-137,7867736816;
1061,6955566406;-137,7878570557;
1064,1429443359;-137,8616027832;
1066,5964355469;-137,8632812500;
1069,0549316406;-137,8686981201;
1071,5192871094;-137,9718017578;
1073,9891357422;-137,9718017578;
1076,4653320313;-137,9718017578;
1078,9466552734;-137,9718017578;
1081,4337158203;-137,9718017578;
1083,9271240234;-137,9718017578;
1086,4256591797;-137,9718017578;
1088,9299316406;-137,9972229004;
1091,4405517578;-138,0043640137;
1093,9564208984;-138,0089263916;
1096,4781494141;-138,1441802979;
1099,0056152344;-138,1696472168;
1101,5394287109;-138,1780395508;
1104,0786132813;-138,1840820313;
1106,6235351563;-138,2177886963;
1109,1750488281;-138,2177886963;
1111,7316894531;-138,2177886963;
1114,2943115234;-138,2177886963;
1116,8635253906;-138,2177886963;
1119,4379882813;-138,2177886963;
1122,0183105469;-138,2177886963;
1124,6052246094;-138,2177886963;
1127,1976318359;-138,1840820313;
1129,7958984375;-138,1780395508;
1132,4001464844;-138,1780395508;
1135,0109863281;-138,1780395508;
1137,6273193359;-138,1780395508;
1140,2496337891;-138,1780395508;
1142,8785400391;-138,1780395508;
1145,5129394531;-138,1780395508;
1148,1534423828;-138,1696472168;
1150,8006591797;-138,1133270264;
1153,4533691406;-137,9972229004;
1156,1121826172;-137,9718017578;
1158,7770996094;-137,8360595703;
1161,4487304688;-137,8360595703;
1164,1259765625;-137,9972229004;
1166,8093261719;-138,0369415283;
1169,4996337891;-138,1133270264;
1172,1954345703;-138,1780395508;
1174,8973388672;-138,3004302979;
1177,6062011719;-138,3182830811;
1180,3206787109;-138,3531951904;
1183,0413818359;-138,4453125000;
1185,7684326172;-138,4932098389;
1188,5023193359;-138,4932098389;
1191,2419433594;-138,4453125000;
1193,9877929688;-138,4287567139;
1196,7407226563;-138,3182830811;
1199,4992675781;-138,3004302979;
1202,2642822266;-138,2556457520;
1205,0361328125;-138,1133270264;
1207,8138427734;-138,0690155029;
1210,5980224609;-138,0369415283;
1213,3891601563;-137,8490905762;
1216,1861572266;-137,8262786865;
1218,9895019531;-137,7315368652;
1221,7993164063;-137,7289428711;
1224,6163330078;-137,7006683350;
1227,4392089844;-137,7006683350;
1230,2685546875;-137,7289428711;
1233,1051025391;-137,7315368652;
1235,9475097656;-137,7966461182;
1238,7963867188;-137,8490905762;
1241,6525878906;-137,9589080811;
1244,5146484375;-138,0369415283;
1247,3834228516;-138,0690155029;
1250,2586669922;-138,1185302734;
1253,1413574219;-138,1185302734;
1256,0299072266;-138,1185302734;
1258,9251708984;-138,1185302734;
