sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
671,4287109375;-140,6689300537;
672,9767456055;-140,6689300537;
674,5280151367;-140,6448974609;
676,0828857422;-140,5097961426;
677,6416625977;-140,4053802490;
679,2036743164;-140,3525695801;
680,7692871094;-140,3151092529;
682,3388671875;-140,1084899902;
683,9116821289;-140,0785675049;
685,4881591797;-139,9041595459;
687,0682983398;-139,8865814209;
688,6524047852;-139,8770141602;
690,2398071289;-139,8770141602;
691,8308105469;-139,4446563721;
693,4259643555;-139,0983581543;
695,0243530273;-139,0284271240;
696,6264038086;-139,0284271240;
698,2325439453;-139,0284271240;
699,8420410156;-139,0284271240;
701,4552001953;-139,0284271240;
703,0721435547;-139,0284271240;
704,6931762695;-139,0284271240;
706,3175048828;-139,0284271240;
707,9456176758;-139,0284271240;
709,5778808594;-139,0284271240;
711,2135009766;-139,0284271240;
712,8529052734;-139,0284271240;
714,4964599609;-139,0284271240;
716,1434326172;-139,0284271240;
717,7941894531;-139,0284271240;
719,4491577148;-139,0284271240;
721,1075439453;-139,0284271240;
722,7697753906;-139,0284271240;
724,4357910156;-139,6609802246;
726,1060791016;-140,1840057373;
727,7797851563;-140,4231109619;
729,4573974609;-140,5082092285;
731,1392211914;-140,5278625488;
732,8245239258;-140,5865936279;
734,5137329102;-140,6130828857;
736,2072753906;-140,8287353516;
737,9042968750;-141,1871490479;
739,6052246094;-141,1994628906;
741,3100585938;-141,2325134277;
743,0192260742;-141,2325134277;
744,7319335938;-141,2325134277;
746,4486083984;-141,2325134277;
748,1696166992;-141,2325134277;
749,8942260742;-141,2406463623;
751,6227416992;-141,3413085938;
753,3557128906;-141,3507690430;
755,0922851563;-141,3574371338;
756,8328247070;-141,3574371338;
758,5777587891;-141,3574371338;
760,3263549805;-141,3574371338;
762,0789794922;-141,3574371338;
763,8356323242;-141,3574371338;
765,5967407227;-141,3574371338;
767,3614501953;-141,3574371338;
769,1303100586;-141,3507690430;
770,9036254883;-141,3507690430;
772,6806030273;-141,3507690430;
774,4616699219;-141,3507690430;
776,2473144531;-141,3507690430;
778,0366210938;-141,3507690430;
779,8300170898;-141,3507690430;
781,6276245117;-141,3507690430;
783,4297485352;-141,3507690430;
785,2355957031;-141,3507690430;
787,0455932617;-141,3507690430;
788,8602294922;-141,3507690430;
790,6786499023;-141,3574371338;
792,5012207031;-141,3769226074;
794,3284301758;-141,3952789307;
796,1593627930;-141,7805175781;
797,9945678711;-141,7957153320;
799,8344726563;-141,8170471191;
801,6781616211;-142,2251434326;
803,5260620117;-142,2251434326;
805,3782348633;-142,2251434326;
807,2351684570;-142,2251434326;
809,0958862305;-142,2251434326;
810,9609375000;-142,2251434326;
812,8306884766;-142,2251434326;
814,7042846680;-142,3627014160;
816,5822753906;-142,7541046143;
818,4649658203;-142,8744354248;
820,3516235352;-142,9298248291;
822,2425537109;-142,9446563721;
824,1378784180;-142,9446563721;
826,0380249023;-142,9446563721;
827,9421386719;-142,9446563721;
829,8505859375;-142,9446563721;
831,7639160156;-142,9446563721;
833,6812133789;-142,9446563721;
835,6029052734;-142,9446563721;
837,5294799805;-142,9298248291;
839,4600219727;-142,8744354248;
841,3950195313;-142,7541046143;
843,3349609375;-142,5453338623;
845,2789306641;-142,3627014160;
847,2273559570;-142,0754394531;
849,1802978516;-141,9298095703;
851,1381835938;-141,6356353760;
853,1000976563;-141,6256866455;
855,0665893555;-141,5466766357;
857,0380249023;-141,5092163086;
859,0135498047;-141,5092163086;
860,9936523438;-141,5092163086;
862,9787597656;-141,5092163086;
864,9680175781;-141,5092163086;
866,9617919922;-141,5092163086;
868,9602050781;-141,5092163086;
870,9636840820;-141,5092163086;
872,9713134766;-141,5092163086;
874,9835815430;-141,6256866455;
877,0009765625;-141,6356353760;
879,0225219727;-142,0404510498;
881,0487670898;-142,0404510498;
883,0800781250;-142,0404510498;
885,1156616211;-142,0404510498;
887,1559448242;-142,0404510498;
889,2008666992;-142,0404510498;
891,2510375977;-142,0404510498;
893,3054199219;-142,0404510498;
895,3645629883;-142,6717834473;
897,4289550781;-143,1577453613;
899,4975585938;-143,1577453613;
901,5709838867;-143,1577453613;
903,6496582031;-143,1577453613;
