Trace
Log Plot
A.29.04,N9000B
208929.613085404,-88.7161299505
214618.258580128,-88.9652157149535
220461.792063618,-90.2925456960672
226464.430759306,-89.2932865047803
232630.506715363,-87.9552332954658
238964.469931102,-90.3760322711351
245470.891568503,-90.6271710176106
252154.467251172,-91.5599247333021
259020.020453132,-91.4322709383809
266072.505979881,-89.906159382458
273317.013544223,-90.4823675586881
280758.771439473,-91.8490963071604
288403.150312661,-91.1256968040544
296255.667040481,-91.9776008553923
304321.988710772,-92.1392278874556
312607.936712396,-94.2569919530376
321119.490936482,-93.6078892663388
329862.794092063,-92.0089935372364
338844.156139203,-94.9563200151569
348070.058842841,-94.1744771312352
357547.160450621,-93.0153552972344
367282.300498085,-93.0490783626626
377282.504744699,-94.1582377618758
387554.990244286,-94.4872389795073
398107.170553498,-94.9449471702839
408946.661082112,-94.9877872157062
420081.284589007,-94.5882356340581
431519.076827766,-95.5909959050987
443268.292346009,-95.7148801551481
455337.410442625,-95.5589599174381
467735.141287199,-96.4113139443764
480470.432206058,-96.3044055611624
493552.474139481,-95.5808523270139
506990.708274704,-96.5416410748576
520794.832859546,-95.3417748169947
534974.810201537,-96.2580942348544
549540.873857624,-96.5679631387108
564503.536019636,-96.9757668913459
579873.595100831,-97.5710324623533
595662.14352901,-97.4983292361722
611880.575751822,-97.1292658372573
628540.596460025,-99.0024253855446
645654.229034655,-98.1468980981214
663233.82422419,-97.6643961415755
681292.069057962,-97.3942730470525
699841.996002273,-97.9469018238626
718896.992365807,-97.6995546104919
738470.809961117,-97.8073361704402
758577.575029183,-98.8987906183716
779231.798434194,-97.0247205261952
800448.386135892,-97.5508030172441
822242.649947071,-99.0469183481333
844630.318583969,-97.6637849735663
867627.549017531,-97.8834336435661
891250.938133745,-96.1565123144473
915517.534711467,-95.9394898236035
940444.851726353,-94.2198708821201
966050.878989813,-95.2347979505058
992354.096132101,-96.0515228268178
1019373.48593887,-94.7839557547618
1047128.5480509,-93.8433975741107
1075639.31303677,-94.9084482273143
1104926.35684876,-90.9002262454098
1135010.81567231,-94.1947401907852
1165914.40117983,-95.7611328563486
1197659.41619977,-96.1211426038167
1230268.77081238,-96.5158346656923
1263765.99888374,-93.3260764513003
1298175.27504985,-93.9181937496774
1333521.43216332,-96.1587795199836
1369829.97921497,-98.3128672009659
1407127.11974341,-96.2419045009153
1445439.77074593,-99.214139781614
1484795.58210421,-96.093911933676
1525222.95653902,-98.9356544139653
1566751.07010815,-96.0880907476008
1609409.89326254,-98.098329241823
1653230.21247563,-96.1535173154299
1698243.65246174,-95.1662939691525
1744482.69899926,-99.3141380176684
1791980.72237533,-103.904783173526
1840772.00146896,-102.944637278857
1890891.74848964,-99.6051151092475
1942376.13438978,-98.4861143072523
1995262.31496888,-99.58006796006
2049588.45768853,-94.8528041666063
2105393.76921755,-100.80219312439
2162718.52372702,-99.4859204738395
2221604.09195581,-101.509766850669
